""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Or_g6_3_1"	"0.0066"	"0.001"	"0.01"	"0.0094"	"0.0133"	"0.0761"	"0.0129"	"0.0209"	"0.0183"	"1.2425"
"PMT_317_1_1"	"0.0017"	"0.0012"	"0.0111"	"0.0185"	"0.0307"	"0.007"	"0.0737"	"5e-04"	"0.0185"	"1.0017"
"PMT_313_1_1"	"6e-04"	"0.0011"	"0.0112"	"0.0209"	"0.0322"	"0.0089"	"0.0579"	"-0.0039"	"0.0173"	"0.8631"
"PMT_615_1_1"	"0.0271"	"8e-04"	"0.0266"	"0.0069"	"0.0432"	"0.0206"	"0.0198"	"0.005"	"0.0202"	"0.8462"
"PMT_605_1_1"	"0.0268"	"0.0012"	"0.0224"	"0.0058"	"0.0403"	"0.018"	"0.0229"	"0.0049"	"0.0188"	"0.8399"
"PMT_613_1_1"	"0.0263"	"6e-04"	"0.0271"	"0.0092"	"0.0376"	"0.0222"	"0.0196"	"0.0053"	"0.0191"	"0.8241"
"PMT_316_1_1"	"-0.0022"	"0.0011"	"0.0135"	"0.0233"	"0.0359"	"0.0084"	"0.0494"	"-0.0033"	"0.018"	"0.8174"
"Or_g6_2_2"	"0.0057"	"0.001"	"0.0059"	"0.0037"	"0.0065"	"0.0736"	"0.0056"	"0.0043"	"0.0117"	"0.813"
"PMT_609_1_1"	"0.0244"	"9e-04"	"0.0253"	"0.0074"	"0.0378"	"0.0203"	"0.0192"	"0.0068"	"0.0187"	"0.8111"
"Or_g6_5_1"	"0.0048"	"6e-04"	"0.0051"	"0.0038"	"0.0062"	"0.0719"	"0.0054"	"0.0039"	"0.011"	"0.7893"
"PMT_611_1_1"	"0.0248"	"5e-04"	"0.0236"	"0.0081"	"0.0365"	"0.0169"	"0.0187"	"0.0051"	"0.0178"	"0.764"
"PMT_612_1_1"	"0.0242"	"8e-04"	"0.0227"	"0.0065"	"0.0368"	"0.0178"	"0.0183"	"0.0048"	"0.0175"	"0.7516"
"PMT_607_1_1"	"0.0232"	"8e-04"	"0.0215"	"0.0055"	"0.0349"	"0.0164"	"0.0163"	"0.0045"	"0.0164"	"0.7353"
"PMT_614_1_1"	"0.0259"	"4e-04"	"0.0214"	"0.0063"	"0.0362"	"0.0187"	"0.0165"	"0.0042"	"0.0172"	"0.7291"
"Control_g56_7_1"	"-0.0026"	"7e-04"	"0.0326"	"0.0088"	"0.0147"	"0.0186"	"0.0079"	"0.0121"	"0.0126"	"0.6716"
"PMT_308_1_1"	"0.0035"	"7e-04"	"0.0019"	"0.0131"	"0.0056"	"0.0274"	"0.0047"	"0.0032"	"0.0075"	"0.6696"
"P450_g39_1_3"	"0.0097"	"9e-04"	"0.0052"	"0.004"	"0.0045"	"0.001"	"0.0469"	"-0.0013"	"0.0067"	"0.6637"
"PMT_307_1_1"	"0.003"	"7e-04"	"0.002"	"0.0153"	"0.0057"	"0.0244"	"0.0045"	"0.0031"	"0.0076"	"0.6573"
"PMT_309_1_1"	"0.0045"	"5e-04"	"0.0022"	"0.0137"	"0.0055"	"0.0259"	"0.0047"	"0.0031"	"0.0074"	"0.647"
"PMT_306_1_1"	"0.0032"	"6e-04"	"0.0015"	"0.0126"	"0.0051"	"0.0255"	"0.0048"	"0.0034"	"0.007"	"0.6435"
"Gr_g34_3_1"	"0.006"	"4e-04"	"0.0351"	"0.0048"	"0.0062"	"0.004"	"0.0052"	"0.0061"	"0.008"	"0.6042"
"Or_g53_1_12"	"-0.003"	"0.0014"	"0.0072"	"0.0117"	"0.0037"	"0.0088"	"0.0368"	"0.0041"	"0.0082"	"0.5964"
"Or_g66_3_1"	"0.0031"	"1e-04"	"6e-04"	"0.0214"	"0.0051"	"0.0119"	"0.0137"	"0.0084"	"0.0084"	"0.56"
"Or_g52_5_1"	"0.0025"	"8e-04"	"0.0387"	"-0.0014"	"0.0046"	"0.0037"	"0.0038"	"0.0027"	"0.0061"	"0.548"
"Or_g68_4_1"	"0.0074"	"1e-04"	"0.0065"	"0.0027"	"0.0328"	"0.0035"	"0.0132"	"0.0057"	"0.0118"	"0.5047"
"Or_g52_3_1"	"0.0042"	"6e-04"	"0.0341"	"-6e-04"	"0.0035"	"0.003"	"0.0047"	"0.0029"	"0.0057"	"0.4901"
"Or_g52_4_2"	"0.0044"	"6e-04"	"0.0345"	"-0.0018"	"0.0037"	"0.0029"	"0.0036"	"0.0023"	"0.0054"	"0.4769"
"PMT_393_1_1"	"-3e-04"	"3e-04"	"3e-04"	"0.0186"	"0.0064"	"0.0054"	"0.0094"	"0.0061"	"0.0067"	"0.4481"
"Control_g208_4_3"	"0.0018"	"4e-04"	"0.0029"	"0.0017"	"0.0022"	"0.0254"	"0.0018"	"0.0021"	"0.0043"	"0.4171"
"P450_g13_7_1"	"0.0088"	"3e-04"	"0.0065"	"0.0075"	"0.0117"	"0.0121"	"0.0065"	"0.0036"	"0.0073"	"0.4152"
"P450_g15_11_1"	"0.0038"	"0"	"0.0013"	"0.0184"	"0.0031"	"0.0016"	"0.0043"	"0.0017"	"0.0047"	"0.4028"
"Or_g62_6_1"	"0.0061"	"8e-04"	"0.0268"	"0.0029"	"0.0045"	"0.0027"	"0.0082"	"0.0019"	"0.0058"	"0.3981"
"Control_g12_1_1"	"-2e-04"	"0.0023"	"-0.001"	"0.0093"	"0.0059"	"0.0238"	"0.0046"	"0.0012"	"0.0058"	"0.3972"
"Control_g12_2_9"	"-0.0019"	"0.0015"	"-0.001"	"0.0093"	"0.0059"	"0.0248"	"0.0059"	"0.0019"	"0.0061"	"0.3926"
"P450_g15_6_1"	"0.0043"	"1e-04"	"0.0018"	"0.0183"	"0.0025"	"0.0018"	"0.0051"	"0.0013"	"0.0044"	"0.3905"
"Control_g208_1_1"	"0.0028"	"5e-04"	"0.002"	"0.0023"	"0.0024"	"0.0259"	"0.0024"	"0.0019"	"0.0044"	"0.3863"
"Or_g62_4_2"	"0.0063"	"3e-04"	"0.0261"	"0.0031"	"0.0046"	"0.003"	"0.0105"	"0.0031"	"0.0061"	"0.3842"
"P450_g13_5_1"	"0.0048"	"2e-04"	"0.0041"	"0.0089"	"0.0069"	"0.0091"	"0.0029"	"0.0012"	"0.005"	"0.3761"
"PMT_590_1_1"	"0.0041"	"1e-04"	"0.0318"	"0.0036"	"0.0016"	"0.0028"	"0.0054"	"0"	"0.0051"	"0.376"
"Or_g41_4_2"	"0.0111"	"3e-04"	"0.022"	"0.0031"	"0.0036"	"0.002"	"0.0032"	"0.003"	"0.0052"	"0.366"
"Or_g41_1_8"	"0.0122"	"2e-04"	"0.0214"	"0.0025"	"0.0029"	"0.0018"	"0.0029"	"0.0027"	"0.0048"	"0.3655"
"Or_g63_1_7"	"0.01"	"0.001"	"0.0272"	"0.0015"	"0"	"-2e-04"	"0.0053"	"0.0048"	"0.0047"	"0.3643"
"Or_g55_1_7"	"0.0027"	"5e-04"	"0.0262"	"-6e-04"	"0.0027"	"0.0016"	"0.0033"	"-5e-04"	"0.0037"	"0.3596"
"P450_g15_7_1"	"0.0024"	"1e-04"	"0.0012"	"0.0167"	"0.0026"	"0.0014"	"0.0045"	"0.0013"	"0.004"	"0.3471"
"PMT_304_1_1"	"0.0013"	"0"	"-9e-04"	"0.0127"	"0.0032"	"0.0013"	"0.0025"	"0.0022"	"0.0033"	"0.3467"
"Or_g63_5_2"	"0.009"	"9e-04"	"0.0218"	"0.0015"	"0.0014"	"1e-04"	"0.0065"	"0.0029"	"0.0044"	"0.3358"
"Control_g121_2_2"	"0.0063"	"0.0028"	"0.0097"	"0.0063"	"0.0096"	"0.0036"	"-0.001"	"0.0023"	"0.0054"	"0.3322"
"P450_g13_6_1"	"0.0078"	"2e-04"	"1e-04"	"0.0061"	"0.0094"	"0.01"	"0.0063"	"0.0029"	"0.0055"	"0.332"
"Or_g41_3_1"	"0.0105"	"3e-04"	"0.0183"	"0.0019"	"0.0028"	"0.002"	"0.0022"	"0.0027"	"0.0042"	"0.3251"
"Or_g60_4_1"	"0.0024"	"0.0248"	"0.0028"	"0.0028"	"0.002"	"0.0022"	"0.0022"	"0.0017"	"0.0045"	"0.3205"
"Or_g63_4_1"	"0.0094"	"5e-04"	"0.0185"	"0.002"	"6e-04"	"-2e-04"	"0.0047"	"0.0024"	"0.0036"	"0.317"
"Or_g51_1_14"	"0.0017"	"1e-04"	"-0.0016"	"0.0145"	"0.0032"	"9e-04"	"0.0036"	"0.0018"	"0.0035"	"0.3151"
"Gr_g2_3_2"	"0.0179"	"1e-04"	"0"	"0.0085"	"0.0048"	"0.0012"	"0.0038"	"0.0028"	"0.0042"	"0.3071"
"Gr_g2_2_2"	"0.0185"	"0"	"0"	"0.0085"	"0.0047"	"0.0011"	"0.0045"	"0.0038"	"0.0044"	"0.3052"
"ApisSNMP_g9_1_16"	"-0.0013"	"5e-04"	"1e-04"	"0.0038"	"-7e-04"	"0.0066"	"0.0078"	"0.0048"	"0.0025"	"0.304"
